,lang,langType,English,Portuguese
0,af,af,Afrikaans,Africâner
1,af-NA,af,Afrikaans,Africâner
2,af-ZA,af,Afrikaans,Africâner
3,agq,agq,Unknown,Desconhecido
4,agq-CM,agq,Unknown,Desconhecido
5,ak,ak,Akan,Akan
6,ak-GH,ak,Akan,Akan
7,am,am,Amharic,Amárico
8,am-ET,am,Amharic,Amárico
9,ar,ar,Arabic,Árabe
10,ar-001,ar,Arabic,Árabe
11,ar-AE,ar,Arabic,Árabe
12,ar-BH,ar,Arabic,Árabe
13,ar-DJ,ar,Arabic,Árabe
14,ar-DZ,ar,Arabic,Árabe
15,ar-EG,ar,Arabic,Árabe
16,ar-EH,ar,Arabic,Árabe
17,ar-ER,ar,Arabic,Árabe
18,ar-IL,ar,Arabic,Árabe
19,ar-IQ,ar,Arabic,Árabe
20,ar-JO,ar,Arabic,Árabe
21,ar-KM,ar,Arabic,Árabe
22,ar-KW,ar,Arabic,Árabe
23,ar-LB,ar,Arabic,Árabe
24,ar-LY,ar,Arabic,Árabe
25,ar-MA,ar,Arabic,Árabe
26,ar-MR,ar,Arabic,Árabe
27,ar-OM,ar,Arabic,Árabe
28,ar-PS,ar,Arabic,Árabe
29,ar-QA,ar,Arabic,Árabe
30,ar-SA,ar,Arabic,Árabe
31,ar-SD,ar,Arabic,Árabe
32,ar-SO,ar,Arabic,Árabe
33,ar-SS,ar,Arabic,Árabe
34,ar-SY,ar,Arabic,Árabe
35,ar-TD,ar,Arabic,Árabe
36,ar-TN,ar,Arabic,Árabe
37,ar-YE,ar,Arabic,Árabe
38,as,as,Assamese,Assamês
39,as-IN,as,Assamese,Assamês
40,asa,asa,Unknown,Desconhecido
41,asa-TZ,asa,Unknown,Desconhecido
42,ast,ast,Unknown,Desconhecido
43,ast-ES,ast,Unknown,Desconhecido
44,az,az,Azerbaijani,Azerbaijano
45,az-Cyrl,az,Azerbaijani,Azerbaijano
46,az-Cyrl-AZ,az,Azerbaijani,Azerbaijano
47,az-Latn,az,Azerbaijani,Azerbaijano
48,az-Latn-AZ,az,Azerbaijani,Azerbaijano
49,bas,bas,Unknown,Desconhecido
50,bas-CM,bas,Unknown,Desconhecido
51,be,be,Belarusian,Bielorrusso
52,be-BY,be,Belarusian,Bielorrusso
53,bem,bem,Unknown,Desconhecido
54,bem-ZM,bem,Unknown,Desconhecido
55,bez,bez,Unknown,Desconhecido
56,bez-TZ,bez,Unknown,Desconhecido
57,bg,bg,Bulgarian,Búlgaro
58,bg-BG,bg,Bulgarian,Búlgaro
59,bm,bm,Bambara,Bambara
60,bm-ML,bm,Bambara,Bambara
61,bn,bn,Bengali,Bengalês
62,bn-BD,bn,Bengali,Bengalês
